thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
19,0,19,up,0.2549800002016127,None,None,,,19,0,19,0,104.03349325014278,,,,,,,,,104.02109375037253,104.03349325014278,3.541586920619011e-05,105.02127325022593,20,1,0.2,0.5,0.7,105.02178058307618,105.03326004231349,105.03326004231349,105.03326004231349,105.03326004231349,105.29025045828894,up,0.2549800002016127,None,up,0.2549800002016127,0.5,1,105.3029142501764,105.30744895804673,105.30744895804673,105.30744895804673,105.30744895804673,107.30224750004709,107.30260020820424,,,,,,107.30263775028288,None,,,NA,NA,107.3027113750577,107.3125031250529,108.31299812532961,108.30258133308962,,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
20,0,20,left,1.0272848340682685,None,1,0.4757334580644965,None,20,0,20,0,108.31299812532961,,,,,,,,,108.30300708301365,108.31299812532961,0.00034449994564056396,109.30118545796722,21,1,0.2,0.5,0.7,109.30150175001472,109.31315116724,109.31315116724,109.31315116724,109.31315116724,110.34333045827225,left,1.0272848340682685,None,left,1.0272848340682685,0.2,0,110.35783250024542,110.36265766713768,110.36265766713768,110.36265766713768,110.36265766713768,112.35303491726518,112.36079733306542,112.36978870816529,112.36978870816529,112.36978870816529,112.36978870816529,112.36978870816529,112.84821491735056,1,0.4757334580644965,None,1,0.4757334580644965,112.84830741724,112.86163075035438,,113.84841079218313,109.31315116724,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
21,0,21,right,0.3920497908256948,None,None,,,21,0,21,0,113.85959870833904,,,,,,,,,113.84897916717455,113.85959870833904,0.0007214173674583435,114.84670845838264,22,1,0.2,0.5,0.7,114.84687883313745,114.85978133324534,114.85978133324534,114.85978133324534,114.85978133324534,115.2610032921657,right,0.3920497908256948,None,right,0.3920497908256948,0.7,1,115.27306204196066,115.27778829215094,115.27778829215094,115.27778829215094,115.27778829215094,117.27534520812333,117.27583695808426,,,,,,117.27587270829827,None,,,NA,NA,117.27594650024548,117.28623800026253,,118.27597595797852,114.85978133324534,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
22,0,22,right,0.4825266250409186,None,None,,,22,0,22,0,118.28707779198885,,,,,,,,,118.27653570799157,118.28707779198885,0.0006377496756613255,119.27295995829627,23,1,0.2,0.5,0.7,119.27330116694793,119.28877054201439,119.28877054201439,119.28877054201439,119.28877054201439,119.78183904197067,right,0.4825266250409186,None,right,0.4825266250409186,0.7,1,119.79391833301634,119.79845554195344,119.79845554195344,119.79845554195344,119.79845554195344,121.79447629209608,121.79495537513867,,,,,,121.79498908296227,None,,,NA,NA,121.7950586671941,121.80793408304453,,122.79593612533063,119.28877054201439,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
23,0,23,up,0.33114720787853,None,1,2.175503334030509,None,23,0,23,0,122.80835358332843,,,,,,,,,122.79656991735101,122.80835358332843,0.0015587499365210533,123.79283725004643,24,1,0.2,0.5,0.7,123.79316783323884,123.80872324993834,123.80872324993834,123.80872324993834,123.80872324993834,124.15925366710871,up,0.33114720787853,None,up,0.33114720787853,0.5,0,124.17262662528083,124.1772322920151,124.1772322920151,124.1772322920151,124.1772322920151,126.16924066701904,126.17718891706318,126.1804661671631,126.1804661671631,126.1804661671631,126.1804661671631,126.1804661671631,128.36993233300745,1,2.175503334030509,None,1,2.175503334030509,128.37003191700205,128.380091750063,129.38279837509617,129.3668472082354,123.80872324993834,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
24,0,24,right,0.7761973747983575,None,None,,,24,0,24,0,129.38279837509617,,,,,,,,,129.36729350034148,129.38279837509617,0.012850167229771614,130.36868362501264,25,1,0.2,0.5,0.7,130.36912604235113,130.37927987519652,130.37927987519652,130.37927987519652,130.37927987519652,131.1568430000916,right,0.7761973747983575,None,right,0.7761973747983575,0.7,1,131.16882025031373,131.1719700419344,131.1719700419344,131.1719700419344,131.1719700419344,133.16889504203573,133.16930733295158,,,,,,133.16934129223228,None,,,NA,NA,133.16940966714174,133.1792193329893,134.1814015833661,134.166864708066,130.37927987519652,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
25,0,25,right,0.42638479080051184,None,1,0.6149740838445723,None,25,0,25,0,134.1814015833661,,,,,,,,,134.1673055831343,134.1814015833661,0.012083375360816717,135.16960658319294,26,1,0.2,0.5,0.7,135.16990233305842,135.18204258335754,135.18204258335754,135.18204258335754,135.18204258335754,135.61095899995416,right,0.42638479080051184,None,right,0.42638479080051184,0.7,0,135.624861957971,135.62981016701087,135.62981016701087,135.62981016701087,135.62981016701087,137.61917650001124,137.62680175015703,137.63630341738462,137.63630341738462,137.63630341738462,137.63630341738462,137.63630341738462,138.26124816713855,1,0.6149740838445723,None,1,0.6149740838445723,138.26134783308953,138.27410191716626,,139.26257779216394,135.18204258335754,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
26,0,26,up,1.2636150829494,None,None,,,26,0,26,0,139.27537087537348,,,,,,,,,139.2631132081151,139.27537087537348,0.0018192501738667488,140.25946987513453,27,1,0.2,0.5,0.7,140.25979400007054,140.27576466696337,140.27576466696337,140.27576466696337,140.27576466696337,141.5413302499801,up,1.2636150829494,None,up,1.2636150829494,0.5,1,141.55406670831144,141.55866220826283,141.55866220826283,141.55866220826283,141.55866220826283,143.55577425006777,143.5563140832819,,,,,,143.55634845793247,None,,,NA,NA,143.55642091715708,143.5664172079414,144.56972300028428,144.55348241701722,140.27576466696337,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
27,0,27,left,0.9302493338473141,None,None,,,27,0,27,0,144.56972300028428,,,,,,,,,144.5539276250638,144.56972300028428,0.013384040910750628,145.55319612519816,28,1,0.2,0.5,0.7,145.55347620835528,145.56934762513265,145.56934762513265,145.56934762513265,145.56934762513265,146.50170966703445,left,0.9302493338473141,None,left,0.9302493338473141,0.2,1,146.51434208313003,146.51881837518886,146.51881837518886,146.51881837518886,146.51881837518886,148.50361579237506,148.504161500372,,,,,,148.50419604219496,None,,,NA,NA,148.5042671249248,148.51365758292377,149.51425016717985,149.50071087526157,145.56934762513265,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
28,0,28,right,0.6312945843674242,None,None,,,28,0,28,0,149.51425016717985,,,,,,,,,149.50116800004616,149.51425016717985,0.010074249934405088,150.50265145814046,29,1,0.2,0.5,0.7,150.5029837503098,150.51275758305565,150.51275758305565,150.51275758305565,150.51275758305565,151.14623858314008,right,0.6312945843674242,None,right,0.6312945843674242,0.7,1,151.15857758326456,151.16320300009102,151.16320300009102,151.16320300009102,151.16320300009102,153.15370216732845,153.15422675013542,,,,,,153.1542602502741,None,,,NA,NA,153.15432991692796,153.16668104194105,154.1668697502464,154.15407195826992,150.51275758305565,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
