thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
19,0,19,right,0.35230733297066763,None,None,,,19,0,19,0,116.11164641700452,,,,,,,,,116.09681245899992,116.11164641700452,0.0005816249758936465,117.09704925003462,20,1,0.5,0.2,0.7,117.09737716702512,117.11340466700494,117.11340466700494,117.11340466700494,117.11340466700494,117.47029379202286,right,0.35230733297066763,None,right,0.35230733297066763,0.7,1,117.49245295900619,117.50236020900775,117.50236020900775,117.50236020900775,117.50236020900775,119.4787225840264,119.4790201249998,,,,,,119.47908150003059,None,,,NA,NA,119.47919016703963,119.48386575002223,120.47913725004764,120.46894849999808,,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
20,0,20,right,0.4884970420389436,None,None,,,20,0,20,0,120.47913725004764,,,,,,,,,120.46940429200185,120.47913725004764,3.283302066847682e-05,121.46345595899038,21,1,0.5,0.2,0.7,121.46370325004682,121.46916970901657,121.46916970901657,121.46916970901657,121.46916970901657,121.96385100000771,right,0.4884970420389436,None,right,0.4884970420389436,0.7,1,121.98250275000464,121.99099816702073,121.99099816702073,121.99099816702073,121.99099816702073,123.96969116700348,123.97000108403154,,,,,,123.97005525004352,None,,,NA,NA,123.97013141703792,123.97927325003548,124.97054783400381,124.96334845904494,121.46916970901657,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
21,0,21,right,0.621501374989748,None,None,,,21,0,21,0,124.97054783400381,,,,,,,,,124.96396141703008,124.97054783400381,0.0005206249770708382,125.96309683402069,22,1,0.5,0.2,0.7,125.96333129203413,125.96953154203948,125.96953154203948,125.96953154203948,125.96953154203948,126.59796208399348,right,0.621501374989748,None,right,0.621501374989748,0.7,1,126.61821525002597,126.62618037499487,126.62618037499487,126.62618037499487,126.62618037499487,128.6013798750355,128.60171133402037,,,,,,128.60178312502103,None,,,NA,NA,128.60188904200913,128.61251837504096,129.6038536670385,129.59660183399683,125.96953154203948,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
22,0,22,right,0.2818626670050435,None,None,,,22,0,22,0,129.6038536670385,,,,,,,,,129.59721566701774,129.6038536670385,0.002075208001770079,130.59644375002244,23,1,0.5,0.2,0.7,130.5967901670374,130.60368308401667,130.60368308401667,130.60368308401667,130.60368308401667,130.89528445899487,right,0.2818626670050435,None,right,0.2818626670050435,0.7,1,130.91586437501246,130.9238974589971,130.9238974589971,130.9238974589971,130.9238974589971,132.89691029203823,132.8976152500254,,,,,,132.89770366699668,None,,,NA,NA,132.897810125025,132.91272808401845,133.9010227920371,133.8957418340142,130.60368308401667,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
23,0,23,right,0.31233083299594,None,None,,,23,0,23,0,133.9010227920371,,,,,,,,,133.89638691704022,133.9010227920371,0.0033017079695127904,134.8866577920271,24,1,0.5,0.2,0.7,134.88692254200578,134.8941943750251,134.8941943750251,134.8941943750251,134.8941943750251,135.21426125004655,right,0.31233083299594,None,right,0.31233083299594,0.7,1,135.2435604170314,135.26519370899769,135.26519370899769,135.26519370899769,135.26519370899769,137.21808700001566,137.21839724999154,,,,,,137.2184785840218,None,,,NA,NA,137.21857354202075,137.2293417500332,138.2195197500405,138.2130395420245,134.8941943750251,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
24,0,24,right,0.38682541699381545,None,1,2.480916582979262,None,24,0,24,0,138.2195197500405,,,,,,,,,138.21383879199857,138.2195197500405,0.0010533749591559172,139.20368883403717,25,1,0.5,0.2,0.7,139.20408016699366,139.21127179200994,139.21127179200994,139.21127179200994,139.21127179200994,139.6030727920006,right,0.38682541699381545,None,right,0.38682541699381545,0.7,0,139.62407795904437,139.63371737499256,139.63371737499256,139.63371737499256,139.63371737499256,141.61199304199545,141.62566654203692,141.6387533340021,141.6387533340021,141.6387533340021,141.6387533340021,141.6387533340021,144.12288129201625,1,2.480916582979262,None,1,2.480916582979262,144.12311591702746,144.22450937499525,,145.12997412501136,139.21127179200994,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
25,0,25,right,1.2841779160080478,None,None,,,25,0,25,0,145.13582108402625,,,,,,,,,145.1303970000008,145.13582108402625,0.007396665983833373,146.11926312500145,26,1,0.5,0.2,0.7,146.11955916701118,146.12919654202415,146.12919654202415,146.12919654202415,146.12919654202415,147.42073258402525,right,1.2841779160080478,None,right,1.2841779160080478,0.7,1,147.43979054200463,147.4483683340368,147.4483683340368,147.4483683340368,147.4483683340368,149.42929341702256,149.42988200002583,,,,,,149.43002258404158,None,,,NA,NA,149.43012895900756,149.43618154199794,150.4369538340252,150.42967579199467,146.12919654202415,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
26,0,26,right,0.3856316669844091,None,None,,,26,0,26,0,150.4369538340252,,,,,,,,,150.43008804199053,150.4369538340252,3.8792029954493046e-05,151.42993295902852,27,1,0.5,0.2,0.7,151.4303256670246,151.4366706670262,151.4366706670262,151.4366706670262,151.4366706670262,151.83026708400575,right,0.3856316669844091,None,right,0.3856316669844091,0.7,1,151.84889312501764,151.8562605000334,151.8562605000334,151.8562605000334,151.8562605000334,153.8332242090255,153.83342045900645,,,,,,153.83344708400546,None,,,NA,NA,153.8334861670155,153.84494591702241,154.83598454203457,154.82924508402357,151.4366706670262,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
27,0,27,right,0.33138008404057473,None,None,,,27,0,27,0,154.83598454203457,,,,,,,,,154.83011404203717,154.83598454203457,0.0025555830216035247,155.8297436250141,28,1,0.5,0.2,0.7,155.83003704203293,155.8362564590061,155.8362564590061,155.8362564590061,155.8362564590061,156.18279566703131,right,0.33138008404057473,None,right,0.33138008404057473,0.7,1,156.21402625000337,156.2352547920309,156.2352547920309,156.2352547920309,156.2352547920309,158.1853132499964,158.18572245899122,,,,,,158.18582125002285,None,,,NA,NA,158.18597262504045,158.19594241701998,159.18896683404455,159.18035679199966,155.8362564590061,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
28,0,28,right,0.2837333329953253,None,None,,,28,0,28,0,159.18896683404455,,,,,,,,,159.18091833399376,159.18896683404455,0.003126292023807764,160.1795072919922,29,1,0.5,0.2,0.7,160.179825542029,160.1856974590337,160.1856974590337,160.1856974590337,160.1856974590337,160.4808737920248,right,0.2837333329953253,None,right,0.2837333329953253,0.7,1,160.50052954204148,160.5123426670325,160.5123426670325,160.5123426670325,160.5123426670325,162.48572266701376,162.48605304199737,,,,,,162.4861157500418,None,,,NA,NA,162.48620899999514,162.4959665000206,163.49589183402713,163.4802287920029,160.1856974590337,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
