thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,ITI.stopped,fixcross.stopped,blank_screen.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
19,0,19,left,0.6477672499604523,None,None,19,0,19,0,155.05856495909393,,,,,,,,,155.04845866700634,155.05856495909393,-9.175017476081848e-05,156.048081333749,20,0,0.5,0.7,0.2,156.048420666717,156.0589683749713,156.0589683749713,156.0589683749713,156.0589683749713,156.71621374972165,left,0.6477672499604523,None,left,0.6477672499604523,0.5,0,156.7294979998842,156.73350920900702,156.73350920900702,156.73350920900702,156.73350920900702,158.72630937490612,NA,NA,158.726751124952,158.72678116708994,None,158.72684887470677,158.73981908382848,159.7280239998363,156.0589683749713,,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
20,0,20,up,0.5328519577160478,None,None,20,0,20,0,159.74078245880082,,,,,,,,,159.72855150001124,159.74078245880082,0.0017504161223769188,160.7258866247721,21,0,0.5,0.7,0.2,160.72620741697028,160.74131574993953,160.74131574993953,160.74131574993953,160.74131574993953,161.28627745900303,up,0.5328519577160478,None,up,0.5328519577160478,0.7,0,161.29885429190472,161.30165112484246,161.30165112484246,161.30165112484246,161.30165112484246,163.28870495874435,NA,NA,163.2891051247716,163.2891340837814,None,163.28919879207388,163.3003928749822,164.28584374999627,160.74131574993953,164.30095229204744,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
21,0,21,right,0.6853080000728369,None,None,21,0,21,0,164.30095229204744,,,,,,,,,164.2862937496975,164.30095229204744,0.011833583004772663,165.28873133379966,22,0,0.5,0.7,0.2,165.28905824990943,165.30078958394006,165.30078958394006,165.30078958394006,165.30078958394006,165.99431104213,right,0.6853080000728369,None,right,0.6853080000728369,0.2,0,166.0068690837361,166.00962537480518,166.00962537480518,166.00962537480518,166.00962537480518,167.9953442919068,NA,NA,167.99574179202318,167.99577179178596,None,167.9958388339728,168.00769124971703,168.99290504213423,165.30078958394006,169.0061000417918,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
22,0,22,right,1.0936179170385003,None,None,22,0,22,0,169.0061000417918,,,,,,,,,168.9933482920751,169.0061000417918,0.010346499737352133,169.9950862089172,23,0,0.5,0.7,0.2,169.99544054176658,170.0070505416952,170.0070505416952,170.0070505416952,170.0070505416952,171.10277429176494,right,1.0936179170385003,None,right,1.0936179170385003,0.2,0,171.11552066681907,171.11892895912752,171.11892895912752,171.11892895912752,171.11892895912752,173.11266733380035,NA,NA,173.11325766704977,173.11328691709787,None,173.11332825012505,173.12599066691473,174.11455783387646,170.0070505416952,,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
23,0,23,left,0.5412692502140999,None,None,23,0,23,0,174.1257950416766,,,,,,,,,174.11509208381176,174.1257950416766,0.001798790879547596,175.11180420871824,24,0,0.5,0.7,0.2,175.11201366689056,175.12544200010598,175.12544200010598,175.12544200010598,175.12544200010598,175.67352774972096,left,0.5412692502140999,None,left,0.5412692502140999,0.5,1,175.68514391686767,175.69051058404148,175.69051058404148,175.69051058404148,175.69051058404148,177.67498858412728,NA,NA,177.67536779213697,177.67539941705763,None,177.67546891700476,177.68791329208761,178.6750762918964,175.12544200010598,178.68487191712484,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
24,0,24,left,1.8265540827997029,None,None,24,0,24,0,178.68487191712484,,,,,,,,,178.6754784169607,178.68487191712484,5.729077383875847e-05,179.671664792113,25,0,0.5,0.7,0.2,179.67195320874453,179.68788441689685,179.68788441689685,179.68788441689685,179.68788441689685,181.5276540000923,left,1.8265540827997029,None,left,1.8265540827997029,0.5,0,181.541584958788,181.54626791691408,181.54626791691408,181.54626791691408,181.54626791691408,183.52830758411437,NA,NA,183.52872358402237,183.5287549169734,None,183.528825041838,183.53847958380356,184.52578412508592,179.68788441689685,184.5407297499478,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
25,0,25,right,1.550126708112657,None,None,25,0,25,0,184.5407297499478,,,,,,,,,184.5262147919275,184.5407297499478,0.011994958855211735,185.52838575001806,26,0,0.5,0.7,0.2,185.52868120884523,185.5403814590536,185.5403814590536,185.5403814590536,185.5403814590536,187.1001050840132,right,1.550126708112657,None,right,1.550126708112657,0.2,0,187.11350762471557,187.11800537491217,187.11800537491217,187.11800537491217,187.11800537491217,189.10127479210496,NA,NA,189.10176762472838,189.10180087480694,None,189.10187324974686,189.11388033395633,190.10038116713986,185.5403814590536,190.11198720894754,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
26,0,26,up,0.6838734592311084,None,None,26,0,26,0,190.11198720894754,,,,,,,,,190.1008177921176,190.11198720894754,0.010209625121206045,191.10027512488887,27,0,0.5,0.7,0.2,191.10058312490582,191.11161595908925,191.11161595908925,191.11161595908925,191.11161595908925,191.8084979588166,up,0.6838734592311084,None,up,0.6838734592311084,0.7,1,191.82047737482935,191.82481074985117,191.82481074985117,191.82481074985117,191.82481074985117,193.80822724988684,NA,NA,193.80858025001362,193.80860950006172,None,193.80867995880544,193.81834824988618,194.80589187471196,191.11161595908925,194.81883304193616,193.81834824988618,193.81834824988618,193.81834824988618,193.81834824988618,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
27,0,27,up,0.7259750412777066,None,None,27,0,27,0,194.81883304193616,,,,,,,,,194.80629220884293,194.81883304193616,0.010246374644339085,195.8075156668201,28,0,0.5,0.7,0.2,195.8078119168058,195.82059966679662,195.82059966679662,195.82059966679662,195.82059966679662,196.55320562468842,up,0.7259750412777066,None,up,0.7259750412777066,0.7,1,196.56557175004855,196.56942400010303,196.56942400010303,196.56942400010303,196.56942400010303,198.55322200013325,NA,NA,198.55351254204288,198.55354670900851,None,198.5536153339781,198.56870874995366,199.55510762473568,195.82059966679662,,198.56870874995366,198.56870874995366,198.56870874995366,198.56870874995366,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
28,0,28,up,0.5196328749880195,None,None,28,0,28,0,199.56789470883086,,,,,,,,,199.55560637498274,199.56789470883086,0.0020390418358147144,200.55309483408928,29,0,0.5,0.7,0.2,200.55337783368304,200.56861774995923,200.56861774995923,200.56861774995923,200.56861774995923,201.09031166695058,up,0.5196328749880195,None,up,0.5196328749880195,0.7,1,201.1027338746935,201.10727783385664,201.10727783385664,201.10727783385664,201.10727783385664,203.10085845878348,NA,NA,203.10120758367702,203.1012382088229,None,203.10131129203364,203.1116887088865,204.09883533371612,200.56861774995923,204.1150361248292,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
