thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,ITI.stopped,blank_screen.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
19,0,19,up,0.48031608387827873,None,None,,,19,0,19,0,97.53134575020522,,,,,,,,,97.51602437533438,97.53134575020522,0.012886249925941229,98.51624054135755,20,2,0.5,0.7,0.2,98.51658154092729,98.53172237519175,98.53172237519175,98.53172237519175,98.53172237519175,99.02387712523341,up,0.48031608387827873,None,up,0.48031608387827873,0.7,1,99.03497395804152,99.0376870832406,99.0376870832406,99.0376870832406,99.0376870832406,101.02294287504628,NA,NA,101.02327845804393,101.02330491598696,None,101.02337379101664,101.03856104100123,102.0235359580256,102.0379221662879,98.53172237519175,101.03856104100123,101.03856104100123,101.03856104100123,101.03856104100123,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
20,0,20,up,0.4262275421060622,None,None,,,20,0,20,0,102.0379221662879,,,,,,,,,102.02393800020218,102.0379221662879,0.0006120419129729271,103.02505958313122,21,2,0.5,0.7,0.2,103.02549137501046,103.03586775017902,103.03586775017902,103.03586775017902,103.03586775017902,103.46429287502542,up,0.4262275421060622,None,up,0.4262275421060622,0.7,1,103.47601479105651,103.47890179092064,103.47890179092064,103.47890179092064,103.47890179092064,105.46309358300641,NA,NA,105.46340720821172,105.4634347083047,None,105.4635053332895,105.47904650028795,106.46427620807663,,,105.47904650028795,105.47904650028795,105.47904650028795,105.47904650028795,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
21,0,21,up,0.3489962499588728,None,None,,,21,0,21,0,106.47794912522659,,,,,,,,,106.46479625022039,106.47794912522659,0.001339457929134369,107.46337312506512,22,2,0.5,0.7,0.2,107.46369475033134,107.47847920795903,107.47847920795903,107.47847920795903,107.47847920795903,107.83802462508902,up,0.3489962499588728,None,up,0.3489962499588728,0.7,1,107.85043841600418,107.85340558318421,107.85340558318421,107.85340558318421,107.85340558318421,109.85260624997318,NA,NA,109.85301337530836,109.85304212523624,None,109.85311612533405,109.8624137500301,110.8497322499752,110.86233191611245,107.47847920795903,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
22,0,22,up,0.3791460827924311,None,None,,,22,0,22,0,110.86233191611245,,,,,,,,,110.85000308323652,110.86233191611245,0.009290083777159452,111.85114666633308,23,2,0.5,0.7,0.2,111.85146783292294,111.86522812535986,111.86522812535986,111.86522812535986,111.86522812535986,112.25095479097217,up,0.3791460827924311,None,up,0.3791460827924311,0.7,1,112.26285562524572,112.26566900033504,112.26566900033504,112.26566900033504,112.26566900033504,114.25192154105753,NA,NA,114.25231991615146,114.2523511662148,None,114.25242091622204,114.26490075001493,115.24908091593534,115.26485129119828,111.86522812535986,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
23,0,23,up,0.18710145773366094,None,None,,,23,0,23,0,115.26485129119828,,,,,,,,,115.24955708300695,115.26485129119828,0.012511374894529581,116.25134445820004,24,2,0.5,0.7,0.2,116.25167504092678,116.26408454123884,116.26408454123884,116.26408454123884,116.26408454123884,116.45342404115945,up,0.18710145773366094,None,up,0.18710145773366094,0.7,1,116.4654367081821,116.46851149993017,116.46851149993017,116.46851149993017,116.46851149993017,118.45241791615263,NA,NA,118.45273183332756,118.45275829127058,None,118.45282733300701,118.4650880000554,119.45214216597378,119.46290583303198,116.26408454123884,118.4650880000554,118.4650880000554,118.4650880000554,118.4650880000554,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
24,0,24,up,0.4933250420726836,None,None,,,24,0,24,0,119.46290583303198,,,,,,,,,119.45262237498537,119.46290583303198,-0.00015533389523625374,120.45084237493575,25,2,0.5,0.7,0.2,120.45119204092771,120.46457008318976,120.46457008318976,120.46457008318976,120.46457008318976,120.96025729132816,up,0.4933250420726836,None,up,0.4933250420726836,0.7,1,120.9724748749286,120.97528725024313,120.97528725024313,120.97528725024313,120.97528725024313,122.97166012506932,NA,NA,122.9720513750799,122.97208033315837,None,122.97216450003907,122.98457816615701,123.97060637502,123.984011458233,120.46457008318976,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
25,0,25,left,0.4987205001525581,None,None,,,25,0,25,0,123.984011458233,,,,,,,,,123.97106024995446,123.984011458233,0.011951124761253595,124.9726799163036,26,2,0.5,0.7,0.2,124.97302366606891,124.9852842502296,124.9852842502296,124.9852842502296,124.9852842502296,125.49074254091829,left,0.4987205001525581,None,left,0.4987205001525581,0.5,1,125.50225450005382,125.50511358305812,125.50511358305812,125.50511358305812,125.50511358305812,127.49008962512016,NA,NA,127.4904204159975,127.49044700013474,None,127.4905032501556,127.50444141635671,128.49175066594034,,,127.50444141635671,127.50444141635671,127.50444141635671,127.50444141635671,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
26,0,26,up,0.3453733753412962,None,None,,,26,0,26,0,128.50324841635302,,,,,,,,,128.4922585831955,128.50324841635302,0.0017967922613024712,129.49079404119402,27,2,0.5,0.7,0.2,129.49113104119897,129.50628587510437,129.50628587510437,129.50628587510437,129.50628587510437,129.853646625299,up,0.3453733753412962,None,up,0.3453733753412962,0.7,1,129.86515437532216,129.8681566659361,129.8681566659361,129.8681566659361,129.8681566659361,131.86406304128468,NA,NA,131.86447725025937,131.86451787501574,None,131.86458970792592,131.87696704128757,132.86482579121366,,129.50628587510437,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
27,0,27,up,0.4236904578283429,None,None,,,27,0,27,0,132.87832175008953,,,,,,,,,132.86540612531826,132.87832175008953,0.0008651250973343849,133.86487341625616,28,2,0.5,0.7,0.2,133.8653467912227,133.8787513752468,133.8787513752468,133.8787513752468,133.8787513752468,134.30466695828363,up,0.4236904578283429,None,up,0.4236904578283429,0.7,0,134.31732195802033,134.32004758296534,134.32004758296534,134.32004758296534,134.32004758296534,136.30341912526637,NA,NA,136.30376012530178,136.30378837510943,None,136.30385683337227,136.31829925021157,137.3049227502197,,,136.31829925021157,136.31829925021157,136.31829925021157,136.31829925021157,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
28,0,28,right,0.40616470761597157,None,None,,,28,0,28,0,137.31629162514582,,,,,,,,,137.30543166631833,137.31629162514582,0.0016215830110013485,138.30554387532175,29,2,0.5,0.7,0.2,138.30599662521854,138.31824987521395,138.31824987521395,138.31824987521395,138.31824987521395,138.73311224998906,right,0.40616470761597157,None,right,0.40616470761597157,0.2,0,138.74593016598374,138.7486628331244,138.7486628331244,138.7486628331244,138.7486628331244,140.74541045818478,NA,NA,140.7459142911248,140.74594391603023,None,140.7460156250745,140.758456250187,141.74319995800033,141.75580645818263,,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
