thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
19,0,19,up,1.10760199977085,None,None,19,0,19,0,96.5820973329246,,,,,,,,,96.56703054206446,96.5820973329246,0.013501875102519989,97.5683607077226,20,0,0.2,0.5,0.7,97.56866816664115,97.5817917920649,97.5817917920649,97.5817917920649,97.5817917920649,98.70151904178783,up,1.10760199977085,None,up,1.10760199977085,0.5,1,98.71465979190543,98.71749354200438,98.71749354200438,98.71749354200438,98.71749354200438,100.70973783265799,NA,NA,100.71019983291626,100.71022220794111,None,100.71029833285138,100.71269808290526,101.7144367499277,101.70170604204759,97.5817917920649,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
20,0,20,up,1.831268500071019,None,None,20,0,20,0,101.7144367499277,,,,,,,,,101.70224429201335,101.7144367499277,0.004247582983225584,102.70103441691026,21,0,0.2,0.5,0.7,102.7014031666331,102.71462412504479,102.71462412504479,102.71462412504479,102.71462412504479,104.55688337469473,up,1.831268500071019,None,up,1.831268500071019,0.5,0,104.57166729168966,104.57460683304816,104.57460683304816,104.57460683304816,104.57460683304816,106.56770766666159,NA,NA,106.56813000002876,106.56818604189903,None,106.56826304178685,106.5814566668123,107.58159133279696,107.5684452499263,102.71462412504479,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
21,0,21,right,1.4836836662143469,None,None,21,0,21,0,107.58159133279696,,,,,,,,,107.56897508306429,107.58159133279696,0.0007661669515073299,108.56849929178134,22,0,0.2,0.5,0.7,108.56886695791036,108.58168508298695,108.58168508298695,108.58168508298695,108.58168508298695,110.07625208282843,right,1.4836836662143469,None,right,1.4836836662143469,0.7,1,110.08934395806864,110.09228891693056,110.09228891693056,110.09228891693056,110.09228891693056,112.08821191685274,NA,NA,112.08863204205409,112.08867312502116,None,112.0887516667135,112.10208191676065,113.10184004204348,113.08815574971959,108.58168508298695,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
22,0,22,left,1.1404500408098102,None,None,22,0,22,0,113.10184004204348,,,,,,,,,113.08858570782468,113.10184004204348,-0.00011424999684095383,114.08879362465814,23,0,0.2,0.5,0.7,114.08919170778245,114.10166520765051,114.10166520765051,114.10166520765051,114.10166520765051,115.24886237503961,left,1.1404500408098102,None,left,1.1404500408098102,0.2,0,115.26294087478891,115.26637499965727,115.26637499965727,115.26637499965727,115.26637499965727,117.26084383297712,NA,NA,117.26129012461752,117.26133762486279,None,117.26141804177314,117.27403308264911,118.27524837478995,118.26172579172999,114.10166520765051,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
23,0,23,up,1.8077546246349812,None,None,23,0,23,0,118.27524837478995,,,,,,,,,118.2622008328326,118.27524837478995,0.0008424590341746807,119.26115862466395,24,0,0.2,0.5,0.7,119.26150708273053,119.27450100006536,119.27450100006536,119.27450100006536,119.27450100006536,121.08948208298534,up,1.8077546246349812,None,up,1.8077546246349812,0.5,0,121.10393245797604,121.10678962478414,121.10678962478414,121.10678962478414,121.10678962478414,123.10112216696143,NA,NA,123.1015087920241,123.1015543746762,None,123.10163029190153,123.11429662490264,124.11435783281922,124.10159204201773,119.27450100006536,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
24,0,24,right,1.0266946251504123,None,None,24,0,24,0,124.11435783281922,,,,,,,,,124.1020533326082,124.11435783281922,0.00047620804980397224,125.10147408302873,25,0,0.2,0.5,0.7,125.1018170826137,125.11434587463737,125.11434587463737,125.11434587463737,125.11434587463737,126.14336312469095,right,1.0266946251504123,None,right,1.0266946251504123,0.7,1,126.1565999169834,126.15954316686839,126.15954316686839,126.15954316686839,126.15954316686839,128.15508954180405,NA,NA,128.15546804200858,128.15550287486985,None,128.15558170806617,128.1676412918605,129.1680009169504,129.15536129195243,125.11434587463737,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
25,0,25,right,0.882139875087887,None,None,25,0,25,0,129.1680009169504,,,,,,,,,129.15586850000545,129.1680009169504,0.00034345919266343117,130.15461104176939,26,0,0.2,0.5,0.7,130.15497833304107,130.16817924985662,130.16817924985662,130.16817924985662,130.16817924985662,131.06280604191124,right,0.882139875087887,None,right,0.882139875087887,0.7,1,131.07600179174915,131.07878091698512,131.07878091698512,131.07878091698512,131.07878091698512,133.07483383268118,NA,NA,133.07530616689473,133.07534129172564,None,133.07544916681945,133.0876340828836,134.08717370778322,134.07521483302116,130.16817924985662,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
26,0,26,right,0.8746118750423193,None,None,26,0,26,0,134.08717370778322,,,,,,,,,134.07575829187408,134.08717370778322,0.0003630411811172962,135.0749587500468,27,0,0.2,0.5,0.7,135.07534729177132,135.08791129197925,135.08791129197925,135.08791129197925,135.08791129197925,135.96952949976549,right,0.8746118750423193,None,right,0.8746118750423193,0.7,1,135.98336570803076,135.98629604186863,135.98629604186863,135.98629604186863,135.98629604186863,137.98143833270296,NA,NA,137.98182195797563,137.9818676249124,None,137.98194204177707,137.99465712485835,138.99419037485495,138.98163024988025,135.08791129197925,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
27,0,27,up,0.8562750830315053,None,None,27,0,27,0,138.99419037485495,,,,,,,,,138.9821210829541,138.99419037485495,0.00023179221898317337,139.9814388747327,28,0,0.2,0.5,0.7,139.98178562475368,139.99377129180357,139.99377129180357,139.99377129180357,139.99377129180357,140.8633442078717,up,0.8562750830315053,None,up,0.8562750830315053,0.5,1,140.87740212492645,140.88028929196298,140.88028929196298,140.88028929196298,140.88028929196298,142.87452941667289,NA,NA,142.87493191706017,142.87496854178607,None,142.8750409996137,142.88768849987537,143.88784570805728,143.87489033304155,139.99377129180357,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
28,0,28,right,0.627188874874264,None,None,28,0,28,0,143.88784570805728,,,,,,,,,143.87537683267146,143.88784570805728,0.000386000145226717,144.87495008297265,29,0,0.2,0.5,0.7,144.87537658261135,144.88784591667354,144.88784591667354,144.88784591667354,144.88784591667354,145.5176127916202,right,0.627188874874264,None,right,0.627188874874264,0.7,1,145.5300891669467,145.53295545792207,145.53295545792207,145.53295545792207,145.53295545792207,147.52789395768195,NA,NA,147.52830424997956,147.528338749893,None,147.5284385830164,147.54096058290452,148.54089387506247,148.52817829186097,144.88784591667354,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
29,0,29,left,0.45357399992644787,None,None,29,0,29,0,148.54089387506247,,,,,,,,,148.52867224998772,148.54089387506247,0.00028637517243623734,149.52809245791286,30,0,0.2,0.5,0.7,149.5284749576822,149.54114716686308,149.54114716686308,149.54114716686308,149.54114716686308,149.9969501667656,left,0.45357399992644787,None,left,0.45357399992644787,0.2,0,150.01203224994242,150.01491849962622,150.01491849962622,150.01491849962622,150.01491849962622,152.00786545779556,NA,NA,152.00828929198906,152.00832991674542,None,152.0084080826491,152.02107779169455,,153.0085557498969,149.54114716686308,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
