thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,ITI.stopped,blank_screen.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
19,0,19,up,0.6234857910312712,None,None,,,19,0,19,0,137.27588654099964,,,,,,,,,137.27153004100546,137.27588654099964,0.008404457999859005,138.26994204102084,20,1,0.5,0.7,0.2,138.27704741602065,138.28214566601673,138.28214566601673,138.28214566601673,138.28214566601673,138.9103962079971,up,0.6234857910312712,None,up,0.6234857910312712,0.7,1,138.92297437501838,138.9299816659768,138.9299816659768,138.9299816659768,138.9299816659768,140.9195299160201,140.9198665000149,,,,,,140.91990408301353,None,,,NA,NA,140.91994679102208,140.92412495799363,141.9075888749794,141.9193613330135,138.28214566601673,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
20,0,20,up,0.6304741250351071,None,None,,,20,0,20,0,141.9193613330135,,,,,,,,,141.90799741598312,141.9193613330135,-0.0005284170038066804,142.90332166600274,21,1,0.5,0.7,0.2,142.90356308297487,142.90810141601833,142.90810141601833,142.90810141601833,142.90810141601833,143.54249245801475,up,0.6304741250351071,None,up,0.6304741250351071,0.7,1,143.55558849999215,143.56835662497906,143.56835662497906,143.56835662497906,143.56835662497906,145.5526964580058,145.55301491601858,,,,,,145.55305066599976,None,,,NA,NA,145.5530969160027,145.55771399999503,146.55314420798095,146.55831104097888,142.90810141601833,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
21,0,21,up,0.48987091600429267,None,1,3.6778610830078833,None,21,0,21,0,146.55831104097888,,,,,,,,,146.5536103330087,146.55831104097888,0.0005464170244522393,147.5536342500127,22,1,0.5,0.7,0.2,147.55387491598958,147.55867691599997,147.55867691599997,147.55867691599997,147.55867691599997,148.05368349998025,up,0.48987091600429267,None,up,0.48987091600429267,0.7,0,148.06842958298512,148.07503825001186,148.07503825001186,148.07503825001186,148.07503825001186,150.057741000026,150.06469362502685,150.07684574997984,150.07684574997984,150.07684574997984,150.07684574997984,150.07684574997984,153.75936291599646,1,3.6778610830078833,None,1,3.6778610830078833,153.7594265830121,153.76900074997684,154.75259270798415,154.75721983297262,147.55867691599997,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
22,0,22,left,0.6272729999618605,None,1,3.634684292017482,None,22,0,22,0,154.75721983297262,,,,,,,,,154.75311904097907,154.75721983297262,0.009478499996475875,155.7401860409882,23,1,0.5,0.7,0.2,155.74050220800564,155.75685808301205,155.75685808301205,155.75685808301205,155.75685808301205,156.38702416600427,left,0.6272729999618605,None,left,0.6272729999618605,0.5,0,156.3991712909774,156.4066800409928,156.4066800409928,156.4066800409928,156.4066800409928,158.391092750011,158.3981773330015,158.40566487499746,158.40566487499746,158.40566487499746,158.40566487499746,158.40566487499746,162.0419499159907,1,3.634684292017482,None,1,3.634684292017482,162.04201608302537,162.05199795798399,163.03617716598092,163.0410091250087,155.75214054097887,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
23,0,23,right,2.029524040990509,None,2,1.083297125005629,None,23,0,23,0,163.0410091250087,,,,,,,,,163.0364804160199,163.0410091250087,-0.000941749953199178,164.03588237502845,24,1,0.5,0.7,0.2,164.0363030830049,164.0412013750174,164.0412013750174,164.0412013750174,164.0412013750174,166.0750811250182,right,2.029524040990509,None,right,2.029524040990509,0.2,0,166.08735879097367,166.09425583301345,166.09425583301345,166.09425583301345,166.09425583301345,168.08505679102382,168.09161133301677,168.09889850002946,168.09889850002946,168.09889850002946,168.09889850002946,168.09889850002946,169.18640608299756,2,1.083297125005629,None,2,1.083297125005629,169.18648987502092,169.19266741600586,170.18529287498677,170.1912996660103,164.0412013750174,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
24,0,24,left,0.73989766696468,None,1,2.3129882909706794,None,24,0,24,0,170.1912996660103,,,,,,,,,170.18590829102322,170.1912996660103,-0.0005321250064298511,171.18537762499182,25,1,0.5,0.7,0.2,171.19241829100065,171.19742104102625,171.19742104102625,171.19742104102625,171.19742104102625,171.94125933299074,left,0.73989766696468,None,left,0.73989766696468,0.5,0,171.9545187500189,171.96129154099617,171.96129154099617,171.96129154099617,171.96129154099617,173.951423874998,173.95919016597327,173.96533620799892,173.96533620799892,173.96533620799892,173.96533620799892,173.96533620799892,176.28780983301112,1,2.3129882909706794,None,1,2.3129882909706794,176.28788137499942,176.29637679102598,177.28581199998735,177.29104529100005,171.19742104102625,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
25,0,25,up,0.5870809170301072,None,None,,,25,0,25,0,177.29104529100005,,,,,,,,,177.28634558297927,177.29104529100005,0.0032728330115787685,178.2867398330127,26,1,0.5,0.7,0.2,178.28717745799804,178.29187241598265,178.29187241598265,178.29187241598265,178.29187241598265,178.8884090000065,up,0.5870809170301072,None,up,0.5870809170301072,0.7,1,178.90152783301892,178.90886324999155,178.90886324999155,178.90886324999155,178.90886324999155,180.88922608300345,180.89010545797646,,,,,,180.89014408300864,None,,,NA,NA,180.8901957499911,180.90122366597643,181.88719600002514,181.89270283299265,178.29187241598265,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
26,0,26,up,2.119735209038481,None,None,,,26,0,26,0,181.89270283299265,,,,,,,,,181.88775595801417,181.89270283299265,0.002582582994364202,182.8844577909913,27,1,0.5,0.7,0.2,182.88516966602765,182.88975308299996,182.88975308299996,182.88975308299996,182.88975308299996,185.01873033301672,up,2.119735209038481,None,up,2.119735209038481,0.7,1,185.03120029100683,185.04439016600372,185.04439016600372,185.04439016600372,185.04439016600372,187.0229831659817,187.0236043750192,,,,,,187.0236387909972,None,,,NA,NA,187.02368479099823,187.0346810829942,188.01793979102513,188.0223692500149,182.88975308299996,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
27,0,27,up,0.9237783750286326,None,None,,,27,0,27,0,188.0223692500149,,,,,,,,,188.01821412501158,188.0223692500149,0.010504958045203239,189.00725737499306,28,1,0.5,0.7,0.2,189.00754208298167,189.01789879100397,189.01789879100397,189.01789879100397,189.01789879100397,189.95246829098323,up,0.9237783750286326,None,up,0.9237783750286326,0.7,1,189.9654851660016,189.97205379098887,189.97205379098887,189.97205379098887,189.97205379098887,191.9560225000023,191.9567132910015,,,,,,191.95674712501932,None,,,NA,NA,191.95679904101416,191.967300874996,192.9547881250037,192.9598802080145,189.01789879100397,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
28,0,28,up,0.8233257090323605,None,2,2.1041621660115197,None,28,0,28,0,192.9598802080145,,,,,,,,,192.95537600002717,192.9598802080145,0.0031462080078199506,193.95157008297974,29,1,0.5,0.7,0.2,193.95205133297713,194.16726733301766,194.16726733301766,194.16726733301766,194.16726733301766,195.0058432079968,up,0.8233257090323605,None,up,0.8233257090323605,0.7,0,195.01892291597323,195.02584691601805,195.02584691601805,195.02584691601805,195.02584691601805,197.0062132080202,197.01408229098888,197.02149287500652,197.02149287500652,197.02149287500652,197.02149287500652,197.02149287500652,199.1305481659947,2,2.1041621660115197,None,2,2.1041621660115197,199.13063949998468,199.13968954101438,200.1329428749741,,194.16726733301766,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
29,0,29,right,0.5695156250149012,None,2,1.1722122500068508,None,29,0,29,0,200.13867108302657,,,,,,,,,200.13384399999632,200.13867108302657,0.00325858301948756,201.13406545802718,30,1,0.5,0.7,0.2,201.13454950001324,201.13967329100706,201.13967329100706,201.13967329100706,201.13967329100706,201.72141416597879,right,0.5695156250149012,None,right,0.5695156250149012,0.2,0,201.73676737502683,201.74480920803035,201.74480920803035,201.74480920803035,201.74480920803035,203.72168495802907,203.72957074997248,203.73688649997348,203.73688649997348,203.73688649997348,203.73688649997348,203.73688649997348,204.91806104098214,2,1.1722122500068508,None,2,1.1722122500068508,204.91812550002942,204.92410570802167,205.92420845798915,205.92974591598613,,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
