pid,condition,trial_index,type_lab,choice,choice_rt,choice_prob,points,regret,regret_rt,tree_1,tree_2,tree_3,totalpoints,final_points,tree_best,tree_medium,tree_worst,choice_goodbad,event_type,label,msg_time,i.start,i.end,sac_gstx,sac_gsty,sac_genx,sac_geny,sac_duration,fix_gstx,fix_gsty,fix_genx,fix_geny,fix_duration
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_2,8408,10217,10259,900.0999755859375,626.9000244140625,591.20001220703125,582.70001220703125,42,NA,NA,NA,NA,NA
64132,regret,2,regret,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_2,10401,10465,10652,587.5999755859375,606.70001220703125,712.0999755859375,590.0999755859375,187,NA,NA,NA,NA,NA
64132,regret,2,regret,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_2,10401,10779,10810,704.20001220703125,599.20001220703125,854.5,617.29998779296875,31,NA,NA,NA,NA,NA
64132,regret,2,regret,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_2,10401,11373,11390,894.70001220703125,638.20001220703125,880.4000244140625,608.79998779296875,17,NA,NA,NA,NA,NA
64132,regret,2,choice,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,CHOICE_2,6900,6992,7281,NA,NA,NA,NA,NA,849,638.20001220703125,854.79998779296875,631.5,289
64132,regret,2,choice,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,CHOICE_2,6900,7326,7497,NA,NA,NA,NA,NA,1230.9000244140625,602.70001220703125,1218.5,593,171
64132,regret,2,choice,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,CHOICE_2,6900,7542,7690,NA,NA,NA,NA,NA,851.79998779296875,610.9000244140625,853.70001220703125,610.70001220703125,148
64132,regret,2,choice,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,CHOICE_2,6900,7737,8175,NA,NA,NA,NA,NA,463.2000122070313,599.79998779296875,469.1000061035156,607.20001220703125,438
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,FEEDBACK_2,8408,8616,8865,NA,NA,NA,NA,NA,457.6000061035156,436,462.2000122070313,450.7000122070313,249
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,FEEDBACK_2,8408,8889,9159,NA,NA,NA,NA,NA,480,554,476.1000061035156,575.29998779296875,270
