pid,condition,trial_index,choice,choice_rt,choice_prob,points,regret,regret_rt,tree_1,tree_2,tree_3,totalpoints,final_points,tree_best,tree_medium,tree_worst,choice_goodbad
33775,early_regret,2,3,1.0465556670096705,0.2,0,1,1.9774963749805463,0.5,0.7,0.2,24,357,2,1,3,worst
33775,early_regret,3,1,0.602830666990485,0.5,0,1,1.988209041999653,0.5,0.7,0.2,24,357,2,1,3,medium
33775,early_regret,4,2,0.6810045830206946,0.7,0,1,2.7175295000197366,0.5,0.7,0.2,24,357,2,1,3,best
33775,early_regret,5,1,1.0081274170079269,0.5,1,NA,NA,0.5,0.7,0.2,25,357,2,1,3,medium
33775,early_regret,6,1,1.0221946249948817,0.5,1,NA,NA,0.5,0.7,0.2,26,357,2,1,3,medium
33775,early_regret,7,1,0.5442497910116799,0.5,1,NA,NA,0.5,0.7,0.2,27,357,2,1,3,medium
33775,early_regret,8,1,1.0091162090539,0.5,0,1,2.630407665972598,0.5,0.7,0.2,27,357,2,1,3,medium
33775,early_regret,9,3,0.8580950000323355,0.2,1,NA,NA,0.5,0.7,0.2,28,357,2,1,3,worst
33775,early_regret,10,3,1.2404657499864695,0.2,1,NA,NA,0.5,0.7,0.2,29,357,2,1,3,worst
33775,early_regret,11,3,0.8134530839743093,0.2,0,1,1.8798358329804616,0.5,0.7,0.2,29,357,2,1,3,worst
33775,early_regret,12,2,0.7220159160206094,0.7,1,NA,NA,0.5,0.7,0.2,30,357,2,1,3,best
33775,early_regret,13,2,0.6020648749545217,0.7,1,NA,NA,0.5,0.7,0.2,31,357,2,1,3,best
33775,early_regret,14,2,0.5720432499656454,0.7,0,1,1.505875915987417,0.5,0.7,0.2,31,357,2,1,3,best
33775,early_regret,15,3,0.6947137080132961,0.2,0,1,1.2418278750265015,0.5,0.7,0.2,31,357,2,1,3,worst
33775,early_regret,16,1,0.43225095799425617,0.5,0,1,0.722020709014032,0.5,0.7,0.2,31,357,2,1,3,medium
33775,early_regret,17,2,0.5518683330155909,0.7,0,1,0.8456654170295224,0.5,0.7,0.2,31,357,2,1,3,best
33775,early_regret,18,2,0.600330000044778,0.7,1,NA,NA,0.5,0.7,0.2,32,357,2,1,3,best
33775,early_regret,19,3,0.5673181249876507,0.2,0,1,3.248912416980602,0.5,0.7,0.2,32,357,2,1,3,worst
33775,early_regret,20,2,0.6234857910312712,0.7,1,NA,NA,0.5,0.7,0.2,33,357,2,1,3,best
33775,early_regret,21,2,0.6304741250351071,0.7,1,NA,NA,0.5,0.7,0.2,34,357,2,1,3,best
33775,early_regret,22,2,0.48987091600429267,0.7,0,1,3.6778610830078833,0.5,0.7,0.2,34,357,2,1,3,best
33775,early_regret,23,1,0.6272729999618605,0.5,0,1,3.6346842920174822,0.5,0.7,0.2,34,357,2,1,3,medium
33775,early_regret,24,3,2.029524040990509,0.2,0,2,1.083297125005629,0.5,0.7,0.2,34,357,2,1,3,worst
33775,early_regret,25,1,0.73989766696468,0.5,0,1,2.3129882909706794,0.5,0.7,0.2,34,357,2,1,3,medium
33775,early_regret,26,2,0.5870809170301072,0.7,1,NA,NA,0.5,0.7,0.2,35,357,2,1,3,best
33775,early_regret,27,2,2.119735209038481,0.7,1,NA,NA,0.5,0.7,0.2,36,357,2,1,3,best
33775,early_regret,28,2,0.9237783750286326,0.7,1,NA,NA,0.5,0.7,0.2,37,357,2,1,3,best
33775,early_regret,29,2,0.8233257090323605,0.7,0,2,2.1041621660115197,0.5,0.7,0.2,37,357,2,1,3,best
33775,early_regret,30,3,0.5695156250149012,0.2,0,2,1.1722122500068508,0.5,0.7,0.2,37,357,2,1,3,worst
33775,early_regret,31,1,1.148294500017073,0.5,1,NA,NA,0.5,0.7,0.2,38,357,2,1,3,medium
33775,early_regret,32,1,0.8248289170442149,0.5,1,NA,NA,0.5,0.7,0.2,39,357,2,1,3,medium
33775,early_regret,33,1,0.49903804098721594,0.5,1,NA,NA,0.5,0.7,0.2,40,357,2,1,3,medium
